entity_type,entity_id,entity_name,report_date,year,source_sheet,revenue,revenue_growth_pct,gross_profit,ebit,depreciation,ebitda,ebitda_margin,nie,net_income,cash,accounts_receivable,inventory,accounts_payable,total_assets,equity,current_assets,current_liabilities,total_interest_bearing_debt,net_debt,equity_ratio,current_ratio,net_debt_to_ebitda,icrm,dso_days,dio_days,dpo_days,financial_cycle_days,average_capital_need
COMPANY,33929610,"ТОВ ""АКРОПОЛІС - ПЛАЗА""",2026-01-01,2025,02_Raw_Wide,14250.0,,5130.0,2280.0,641.25,2921.25,0.205,256.5,2493.75,641.89,2114.7,1739.8400000000001,1614.3600000000001,16278.0,6836.76,7487.88,6345.66,3566.0600000000004,2924.1700000000005,0.42000000000000004,1.180000189105625,1.0009995721009843,11.38888888888889,54.16599999999999,74.89802152439924,69.4962582927908,59.56776323160844,1488.3780840336135
COMPANY,35251665,"ТОВ ""НОВО-КОМЕРЦБУД""",2026-01-01,2025,02_Raw_Wide,14000.0,,5040.0,2240.0,630.0,2870.0,0.205,252.0,2450.0,630.63,2077.6,1709.3200000000002,1586.03,15984.0,6713.28,7352.64,6231.05,3503.51,2872.88,0.42,1.1800001604865953,1.0010034843205575,11.38888888888889,54.166,74.89817527010806,69.49591236494598,59.56826290516207,1462.2784537815128
COMPANY,35495114,"ТЗОВ ""ТОРГОВИЙ ДІМ """"АВАНТА""""""",2026-01-01,2025,02_Raw_Wide,10500.0,,3780.0,1680.0,472.5,2152.5,0.205,189.0,1837.5,472.97,1558.2,1281.99,1189.53,11868.0,4984.56,5459.28,4626.51,2627.63,2154.66,0.42000000000000004,1.1799996109378343,1.0010034843205575,11.38888888888889,54.166,74.89817527010804,69.49635054021608,59.56782472989194,1096.7007731092433
COMPANY,35672132,"ТОВ ""КОМБІНАТ ХЛІБОПЕЧЕННЯ """"КУЛИНИЧІ""""""",2026-01-01,2025,02_Raw_Wide,13375.0,,4815.0,2140.0,601.88,2741.88,0.20500037383177572,240.75,2340.63,602.48,1984.85,1633.0,1515.23,15249.0,6404.58,7014.54,5944.53,3347.1,2744.62,0.42,1.1799990916018592,1.0009993143390665,11.388909657320873,54.166,74.89771453559383,69.49618125889029,59.56753327670353,1396.9810543796773
COMPANY,35720615,"ТОВ ""АГРО КАПІТАЛ ЦЕНТР""",2026-01-01,2025,02_Raw_Wide,13625.0,,4905.0,2180.0,613.12,2793.12,0.20499963302752292,245.25,2384.37,613.74,2021.95,1663.53,1543.5500000000002,15543.0,6528.06,7149.78,6059.14,3409.64,2795.8999999999996,0.42000000000000004,1.1799991417923994,1.000995302743885,11.388868501529052,54.166,74.89792003828846,69.49600216112735,59.56791787716112,1423.10203805163
COMPANY,35863179,"ТОВ  ""АЙСБЕРГ-ФІШ""",2026-01-01,2025,02_Raw_Wide,11375.0,,4095.0,1820.0,511.88,2331.88,0.20500043956043956,204.75,1990.63,512.39,1688.05,1388.8200000000002,1288.6499999999999,12897.0,5416.74,5932.62,5027.64,2846.6,2334.21,0.42,1.1800009547222952,1.0009991937835565,11.38891330891331,54.166,74.89809577844365,69.4959974113934,59.568098367050226,1188.0979619510292
COMPANY,36866563,"ТОВ""СОКАР ЕНЕРДЖІ УКРАЇНА""",2026-01-01,2025,02_Raw_Wide,15125.0,,5445.0,2420.0,680.62,3100.62,0.2049996694214876,272.25,2646.87,681.31,2244.55,1846.67,1713.48,17307.0,7268.94,7961.22,6746.8,3785.03,3103.7200000000003,0.42,1.1799994071263413,1.0009998000399922,11.388870523415978,54.16600000000001,74.8978874100216,69.49592083010162,59.56796657991998,1579.7751136811655
COMPANY,36867724,"ТОВ ""ТЕРРАФУД""",2026-01-01,2025,02_Raw_Wide,7250.0,,2610.0,1160.0,326.25,1486.25,0.205,130.5,1268.75,326.58,1075.9,885.1800000000001,821.34,8046.0,3379.32,3701.16,3136.58,1814.31,1487.73,0.42000000000000004,1.1799985971982223,1.0009957947855341,11.38888888888889,54.16600000000001,74.89787308026659,69.49616922631122,59.56770385395538,757.2442352941176
COMPANY,37037544,"ТОВ ""ТОРГОВИЙ ДІМ """"СОКАР УКРАЇНА""""""",2026-01-01,2025,02_Raw_Wide,8500.0,,3060.0,1360.0,382.5,1742.5,0.205,153.0,1487.5,382.88,1261.4,1037.79,962.9499999999999,9516.0,3996.72,4377.36,3709.63,2127.13,1744.25,0.42,1.179999083466545,1.0010043041606886,11.38888888888889,54.166000000000004,74.8973504695996,69.49614434008897,59.56720612951064,887.796168067227
COMPANY,37129163,"ТОВ ""АЛЬБАКОР""",2026-01-01,2025,02_Raw_Wide,5250.0,,1890.0,840.0,236.25,1076.25,0.205,94.5,918.75,236.49,779.1,640.99,594.76,5694.0,2391.48,2619.24,2219.69,1313.82,1077.33,0.42,1.1800026129774877,1.0010034843205575,11.38888888888889,54.166,74.89759103641457,69.49576630652261,59.56782472989194,548.3503865546217
COMPANY,37197929,"ТОВ ""ТАТАРБУНАРИ СОЛАР 2""",2026-01-01,2025,02_Raw_Wide,11750.0,,4230.0,1880.0,528.75,2408.75,0.205,211.5,2056.25,529.28,1743.7,1434.61,1331.13,13338.0,5601.96,6135.48,5199.56,2940.4400000000005,2411.1600000000008,0.42,1.1799998461408272,1.00100051894136,11.38888888888889,54.166,74.89828714464508,69.49579116753084,59.56849597711424,1227.2742184873948
COMPANY,37278720,"ТОВ ""СП УКРСОЯ""",2026-01-01,2025,02_Raw_Wide,7375.0,,2655.0,1180.0,331.88,1511.88,0.20500067796610172,132.75,1290.63,332.21,1094.45,900.44,835.5,8193.0,3441.06,3768.78,3193.88,1845.6,1513.3899999999999,0.42,1.1800005009580823,1.000998756515067,11.388926553672317,54.166,74.89781500961688,69.49616236566001,59.56765264395685,770.2995081629488
COMPANY,37351098,"ПП ""АЛЬФА ЛЮКС""",2026-01-01,2025,02_Raw_Wide,12875.0,,4635.0,2060.0,579.38,2639.38,0.20500038834951456,231.75,2253.13,579.95,1910.65,1571.96,1458.59,14661.0,6157.62,6744.06,5715.31,3221.97,2642.0199999999995,0.42,1.1799989851819062,1.0010002349036513,11.38891046386192,54.166,74.89803697350868,69.49637888317133,59.567658090337346,1344.7602812722732
COMPANY,37412312,"ТОВ ""ГРОСДОРФ""",2026-01-01,2025,02_Raw_Wide,12125.0,,4365.0,1940.0,545.62,2485.62,0.20499958762886597,218.25,2121.87,546.17,1799.35,1480.39,1373.6100000000001,13779.0,5787.18,6338.34,5371.47,3034.28,2488.11,0.42000000000000004,1.1800010053113952,1.0010017621358052,11.388865979381443,54.166,74.89796073952301,69.49559768129764,59.56836305822536,1266.4397187173392
COMPANY,37893933,"ТОВ ""АЗІМУТ ЗАПАД""",2026-01-01,2025,02_Raw_Wide,11875.0,,4275.0,1900.0,534.38,2434.38,0.20500042105263158,213.75,2078.13,534.91,1762.25,1449.8700000000001,1345.3000000000002,13485.0,5663.7,6203.1,5256.86,2971.7200000000003,2436.8100000000004,0.42,1.1800009891836574,1.0009982007739138,11.388912280701755,54.166,74.89824672144837,69.49630747195576,59.56793924949261,1240.3187350579283
COMPANY,37971230,"ПП ""ДЖИВАЛЬДІС""",2026-01-01,2025,02_Raw_Wide,16875.0,,6075.0,2700.0,759.38,3459.38,0.2050002962962963,303.75,2953.13,760.13,2504.25,2060.34,1911.74,19365.0,8133.3,8907.9,7549.07,4222.969999999999,3462.8399999999992,0.42,1.1799996555867147,1.0010001792228662,11.38890534979424,54.166,74.8981736187606,69.49621636910867,59.56795724965194,1762.5587350581945
COMPANY,38013278,"ТОВ ""ШЕН-СЕРВІС""",2026-01-01,2025,02_Raw_Wide,16125.0,,5805.0,2580.0,725.62,3305.62,0.2049996899224806,290.25,2821.87,726.35,2392.95,1968.76,1826.76,18483.0,7762.86,8502.18,7205.24,4035.2800000000007,3308.9300000000007,0.42,1.1799995558787773,1.0010013250161849,11.388871662360033,54.16599999999999,74.8977422199246,69.49562139502501,59.56812082489958,1684.2274161999005
COMPANY,38092323,"ТОВ ""ТОРГОВИЙ ДІМ """"ЖИТОМИРСЬКІ ЛАСОЩІ""""""",2026-01-01,2025,02_Raw_Wide,14125.0,,5085.0,2260.0,635.62,2895.62,0.2049996460176991,254.25,2471.87,636.26,2096.15,1724.58,1600.19,16131.0,6775.02,7420.26,6288.36,3534.77,2898.51,0.42000000000000004,1.1799992366849228,1.0009980591375942,11.388869223205505,54.166,74.89805315799619,69.49582836568551,59.56822479231066,1475.3335674588723
COMPANY,38305367,"ТОВ ""СОКАР ПЕТРОЛЕУМ""",2026-01-01,2025,02_Raw_Wide,8625.0,,3105.0,1380.0,388.12,1768.12,0.20499942028985507,155.25,1509.37,388.51,1279.95,1053.06,977.1099999999999,9663.0,4058.46,4444.98,3766.93,2158.4,1769.89,0.42,1.1800006902172326,1.0010010632762483,11.388856682769726,54.166,74.89787368371825,69.49600341395356,59.56787026976468,900.8620380523316
COMPANY,38737616,"ТОВ ""ДІАТОМ""",2026-01-01,2025,02_Raw_Wide,16500.0,,5940.0,2640.0,742.5,3382.5,0.205,297.0,2887.5,743.24,2448.6,2014.56,1869.26,18924.0,7948.08,8705.04,7377.15,4129.13,3385.8900000000003,0.42,1.1800004066611092,1.0010022172949002,11.38888888888889,54.166,74.8983346065699,69.49629742806214,59.568037178507765,1723.3930756302523
COMPANY,38897719,"ТОВ ""ДМИТРУК-ФУДЗ""",2026-01-01,2025,02_Raw_Wide,15375.0,,5535.0,2460.0,691.88,3151.88,0.20500032520325204,276.75,2690.63,692.57,2281.65,1877.19,1741.8000000000002,17601.0,7392.42,8096.46,6861.41,3847.6,3155.0299999999997,0.42,1.1799994461779721,1.0009994035305911,11.388906955736225,54.166,74.8978314670118,69.49591828703603,59.56791317997576,1605.8856594272918
COMPANY,39215751,"ТОВ ""БЛУМІ""",2026-01-01,2025,02_Raw_Wide,11125.0,,4005.0,1780.0,500.62,2280.62,0.20499955056179775,200.25,1946.87,501.13,1650.95,1358.29,1260.32,12603.0,5293.26,5797.38,4913.03,2784.0299999999997,2282.8999999999996,0.42000000000000004,1.1800009362857544,1.000999728144101,11.388863920099874,54.166,74.89762636379842,69.49545123561421,59.56817512818421,1161.9874161991002
COMPANY,39237508,"ТОВ ""ЛЮКС КРАЇНА""",2026-01-01,2025,02_Raw_Wide,15750.0,,5670.0,2520.0,708.75,3228.75,0.205,283.5,2756.25,709.46,2337.3,1922.98,1784.28,18042.0,7577.64,8299.32,7033.32,3941.44,3231.98,0.42000000000000004,1.1800003412328743,1.0010003871467286,11.38888888888889,54.166000000000004,74.89798052554355,69.4957663065226,59.568214219020945,1645.0619159663868
COMPANY,39387655,"ТОВ ""Б.МК""",2026-01-01,2025,02_Raw_Wide,14500.0,,5220.0,2320.0,652.5,2972.5,0.205,261.0,2537.5,653.15,2151.8,1770.3600000000001,1642.68,16572.0,6960.24,7623.12,6460.27,3628.63,2975.48,0.42,1.1800002167092087,1.0010025231286797,11.38888888888889,54.16600000000001,74.89787308026659,69.49616922631122,59.56770385395538,1514.4884705882353
COMPANY,39615460,"ТОВ "" ВТГ-ТРЕЙДІНГ""",2026-01-01,2025,02_Raw_Wide,12750.0,,4590.0,2040.0,573.75,2613.75,0.205,229.5,2231.25,574.32,1892.1,1556.7,1444.42,14514.0,6095.88,6676.44,5658.0,3190.6899999999996,2616.3699999999994,0.42,1.18,1.0010023912003825,11.38888888888889,54.166,74.89807217004449,69.49590377327402,59.56816839677046,1331.715764705882
COMPANY,39681292,"ТОВ ""ТД """"МІЛК-СЕРВІС""""""",2026-01-01,2025,02_Raw_Wide,8250.0,,2970.0,1320.0,371.25,1691.25,0.205,148.5,1443.75,371.62,1224.3,1007.27,934.63,9222.0,3873.24,4242.12,3595.02,2064.56,1692.94,0.42,1.1799989986147503,1.0009992609017,11.38888888888889,54.166,74.89759103641457,69.49629742806214,59.567293608352415,861.6857815126048
COMPANY,40292090,"ТОВ ""ЮГФУД""",2026-01-01,2025,02_Raw_Wide,6000.0,,2160.0,960.0,270.0,1230.0,0.205,108.0,1050.0,270.27,890.4,732.56,679.73,6576.0,2761.92,3024.96,2563.53,1501.5,1231.23,0.42,1.1799978935296251,1.0010000000000001,11.38888888888889,54.166,74.89759103641455,69.49620448179272,59.567386554621834,626.6815462184873
COMPANY,40334224,"ТОВ  ""ДДС+""",2026-01-01,2025,02_Raw_Wide,7875.0,,2835.0,1260.0,354.38,1614.38,0.20500063492063494,141.75,1378.13,354.73,1168.65,961.49,892.15,8781.0,3688.02,4039.26,3423.1,1970.72,1615.99,0.42,1.1800005842657242,1.0009972868841288,11.388924162257496,54.166000000000004,74.89806044877731,69.49661944417174,59.567441004605584,822.5202812690744
COMPANY,40489427,"ТОВ ""КРАНИ УКРАЇНИ""",2026-01-01,2025,02_Raw_Wide,15250.0,,5490.0,2440.0,686.25,3126.25,0.205,274.5,2668.75,686.94,2263.1,1861.93,1727.6399999999999,17454.0,7330.68,8028.84,6804.1,3816.31,3129.37,0.42000000000000004,1.1800002939404182,1.0009980007996802,11.38888888888889,54.166,74.89785920925748,69.49591954814713,59.56793966111036,1592.830386554622
COMPANY,40532173,"ТОВ ""ЮТЕРМ УКРАЇНА""",2026-01-01,2025,02_Raw_Wide,5625.0,,2025.0,900.0,253.12,1153.12,0.2049991111111111,101.25,984.37,253.38,834.75,686.78,637.25,6135.0,2576.7,2822.1,2391.61,1407.64,1154.2600000000002,0.42,1.1800000836256745,1.0009886221728879,11.388839506172838,54.166,74.89802442872167,69.49644146189884,59.567582966822826,587.5158867960607
COMPANY,40548267,"ТОВ ""ПОЛИ-ТРЕЙД""",2026-01-01,2025,02_Raw_Wide,8125.0,,2925.0,1300.0,365.62,1665.62,0.2049993846153846,146.25,1421.87,365.99,1205.75,992.01,920.46,9075.0,3811.5,4174.5,3537.71,2033.28,1667.29,0.42,1.1800006218712105,1.0010026296514212,11.3888547008547,54.166,74.89763940774205,69.49555061869361,59.56808878904843,848.641264939868
COMPANY,40581739,"ТОВ ""ДОЙЧ-ФАРМ""",2026-01-01,2025,02_Raw_Wide,12375.0,,4455.0,1980.0,556.88,2536.88,0.20500040404040404,222.75,2165.63,557.43,1836.45,1510.91,1401.94,14073.0,5910.66,6473.58,5486.08,3096.8500000000004,2539.4200000000005,0.42,1.1800010207652822,1.0010012298571476,11.388911335578003,54.166,74.89788975325678,69.4960967633286,59.56779298992818,1292.539508165017
COMPANY,40720198,"ТОВ ""СІЛЬПО-ФУД""",2026-01-01,2025,02_Raw_Wide,16750.0,,6030.0,2680.0,753.75,3433.75,0.205,301.5,2931.25,754.5,2485.7,2045.08,1897.57,19218.0,8071.56,8840.28,7491.76,4191.69,3437.1899999999996,0.42000000000000004,1.1800004271359468,1.0010018201674553,11.38888888888889,54.16599999999999,74.89820142982566,69.49585350558132,59.568347924244335,1749.5142184873953
