field_code,field_type,description,aggregation_rule,group_level_rule
1110,financial_statement_line,Поточні біологічні активи / склад запасів залежно від форми,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
1115,financial_statement_line,Рядок фінансової звітності / переноситься з ClientProfile,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
1120,financial_statement_line,"Дебіторська заборгованість за продукцію, товари, роботи, послуги",SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
1125,financial_statement_line,Інша поточна дебіторська заборгованість / дебіторка за розрахунками,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
1130,financial_statement_line,Аванси видані,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
1135,financial_statement_line,Рядок фінансової звітності / переноситься з ClientProfile,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
1136,financial_statement_line,Рядок фінансової звітності / переноситься з ClientProfile,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
1140,financial_statement_line,Рядок фінансової звітності / переноситься з ClientProfile,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
1145,financial_statement_line,Рядок фінансової звітності / переноситься з ClientProfile,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
1155,financial_statement_line,Рядок фінансової звітності / переноситься з ClientProfile,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
1160,financial_statement_line,Рядок фінансової звітності / переноситься з ClientProfile,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
1165,financial_statement_line,Гроші та їх еквіваленти,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
1166,financial_statement_line,Рядок фінансової звітності / переноситься з ClientProfile,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
1167,financial_statement_line,Рядок фінансової звітності / переноситься з ClientProfile,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
1170,financial_statement_line,Рядок фінансової звітності / переноситься з ClientProfile,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
1180,financial_statement_line,Рядок фінансової звітності / переноситься з ClientProfile,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
1190,financial_statement_line,Рядок фінансової звітності / переноситься з ClientProfile,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
1195,financial_statement_line,Усього оборотних активів,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
1200,financial_statement_line,Рядок фінансової звітності / переноситься з ClientProfile,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
1300,financial_statement_line,Усього активів,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
1400,financial_statement_line,Рядок фінансової звітності / переноситься з ClientProfile,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
1405,financial_statement_line,Рядок фінансової звітності / переноситься з ClientProfile,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
1410,financial_statement_line,Рядок фінансової звітності / переноситься з ClientProfile,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
1415,financial_statement_line,Рядок фінансової звітності / переноситься з ClientProfile,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
1420,financial_statement_line,Рядок фінансової звітності / переноситься з ClientProfile,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
1425,financial_statement_line,Рядок фінансової звітності / переноситься з ClientProfile,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
1430,financial_statement_line,Рядок фінансової звітності / переноситься з ClientProfile,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
1435,financial_statement_line,Рядок фінансової звітності / переноситься з ClientProfile,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
1495,financial_statement_line,Власний капітал,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
1500,financial_statement_line,Рядок фінансової звітності / переноситься з ClientProfile,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
1505,financial_statement_line,Рядок фінансової звітності / переноситься з ClientProfile,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
1510,financial_statement_line,Довгострокові кредити банків,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
1515,financial_statement_line,Інші довгострокові відсоткові зобов'язання,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
1520,financial_statement_line,Рядок фінансової звітності / переноситься з ClientProfile,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
1525,financial_statement_line,Рядок фінансової звітності / переноситься з ClientProfile,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
1530,financial_statement_line,Рядок фінансової звітності / переноситься з ClientProfile,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
1535,financial_statement_line,Рядок фінансової звітності / переноситься з ClientProfile,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
1540,financial_statement_line,Рядок фінансової звітності / переноситься з ClientProfile,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
1545,financial_statement_line,Рядок фінансової звітності / переноситься з ClientProfile,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
1595м,financial_statement_line,Рядок фінансової звітності / переноситься з ClientProfile,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
1595,financial_statement_line,Рядок фінансової звітності / переноситься з ClientProfile,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
1600,financial_statement_line,Короткострокові кредити банків,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
1605,financial_statement_line,"Поточна кредиторська заборгованість за товари, роботи, послуги",SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
1610,financial_statement_line,Поточна заборгованість за довгостроковими зобов'язаннями,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
1615,financial_statement_line,Поточна кредиторська заборгованість за розрахунками з бюджетом,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
1620,financial_statement_line,Рядок фінансової звітності / переноситься з ClientProfile,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
1621,financial_statement_line,Рядок фінансової звітності / переноситься з ClientProfile,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
1625,financial_statement_line,Рядок фінансової звітності / переноситься з ClientProfile,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
1630,financial_statement_line,Рядок фінансової звітності / переноситься з ClientProfile,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
1635,financial_statement_line,Доходи майбутніх періодів / аванси одержані,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
1640,financial_statement_line,Рядок фінансової звітності / переноситься з ClientProfile,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
1645,financial_statement_line,Рядок фінансової звітності / переноситься з ClientProfile,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
1650,financial_statement_line,Рядок фінансової звітності / переноситься з ClientProfile,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
1660,financial_statement_line,Рядок фінансової звітності / переноситься з ClientProfile,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
1665,financial_statement_line,Рядок фінансової звітності / переноситься з ClientProfile,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
1670,financial_statement_line,Рядок фінансової звітності / переноситься з ClientProfile,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
1690,financial_statement_line,Рядок фінансової звітності / переноситься з ClientProfile,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
1695,financial_statement_line,Усього поточних зобов'язань,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
1700,financial_statement_line,Рядок фінансової звітності / переноситься з ClientProfile,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
1800,financial_statement_line,Рядок фінансової звітності / переноситься з ClientProfile,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
1900,financial_statement_line,Баланс / усього пасивів,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
2000,financial_statement_line,Чистий дохід від реалізації продукції,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
2010,financial_statement_line,Рядок фінансової звітності / переноситься з ClientProfile,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
2011,financial_statement_line,Рядок фінансової звітності / переноситься з ClientProfile,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
2012,financial_statement_line,Рядок фінансової звітності / переноситься з ClientProfile,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
2013,financial_statement_line,Рядок фінансової звітності / переноситься з ClientProfile,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
2014,financial_statement_line,Рядок фінансової звітності / переноситься з ClientProfile,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
2050,financial_statement_line,Собівартість реалізованої продукції,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
2070,financial_statement_line,Рядок фінансової звітності / переноситься з ClientProfile,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
2090,financial_statement_line,Валовий прибуток,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
2095,financial_statement_line,Валовий збиток,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
2105,financial_statement_line,Рядок фінансової звітності / переноситься з ClientProfile,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
2110,financial_statement_line,Рядок фінансової звітності / переноситься з ClientProfile,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
2111,financial_statement_line,Рядок фінансової звітності / переноситься з ClientProfile,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
2112,financial_statement_line,Рядок фінансової звітності / переноситься з ClientProfile,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
2120,financial_statement_line,Рядок фінансової звітності / переноситься з ClientProfile,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
2121,financial_statement_line,Рядок фінансової звітності / переноситься з ClientProfile,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
2122,financial_statement_line,Рядок фінансової звітності / переноситься з ClientProfile,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
2130,financial_statement_line,Рядок фінансової звітності / переноситься з ClientProfile,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
2150,financial_statement_line,Рядок фінансової звітності / переноситься з ClientProfile,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
2160,financial_statement_line,Рядок фінансової звітності / переноситься з ClientProfile,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
2165,financial_statement_line,Рядок фінансової звітності / переноситься з ClientProfile,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
2180,financial_statement_line,Рядок фінансової звітності / переноситься з ClientProfile,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
2190,financial_statement_line,Фінансовий результат від операційної діяльності: прибуток,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
2195,financial_statement_line,Фінансовий результат від операційної діяльності: збиток,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
2200,financial_statement_line,Рядок фінансової звітності / переноситься з ClientProfile,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
2220,financial_statement_line,Інші фінансові доходи,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
2240,financial_statement_line,Рядок фінансової звітності / переноситься з ClientProfile,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
2250,financial_statement_line,Фінансові витрати,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
2255,financial_statement_line,Рядок фінансової звітності / переноситься з ClientProfile,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
2270,financial_statement_line,Рядок фінансової звітності / переноситься з ClientProfile,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
2275,financial_statement_line,Рядок фінансової звітності / переноситься з ClientProfile,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
2280,financial_statement_line,Рядок фінансової звітності / переноситься з ClientProfile,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
2285,financial_statement_line,Рядок фінансової звітності / переноситься з ClientProfile,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
2290,financial_statement_line,Рядок фінансової звітності / переноситься з ClientProfile,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
2295,financial_statement_line,Рядок фінансової звітності / переноситься з ClientProfile,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
2300,financial_statement_line,Витрати з податку на прибуток,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
2305,financial_statement_line,Рядок фінансової звітності / переноситься з ClientProfile,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
2310,financial_statement_line,Рядок фінансової звітності / переноситься з ClientProfile,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
2350,financial_statement_line,Чистий прибуток,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
2355,financial_statement_line,Чистий збиток,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
2400,financial_statement_line,Рядок фінансової звітності / переноситься з ClientProfile,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
2405,financial_statement_line,Рядок фінансової звітності / переноситься з ClientProfile,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
2410,financial_statement_line,Рядок фінансової звітності / переноситься з ClientProfile,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
2415,financial_statement_line,Рядок фінансової звітності / переноситься з ClientProfile,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
2445,financial_statement_line,Рядок фінансової звітності / переноситься з ClientProfile,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
2450,financial_statement_line,Рядок фінансової звітності / переноситься з ClientProfile,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
2455,financial_statement_line,Рядок фінансової звітності / переноситься з ClientProfile,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
2460,financial_statement_line,Рядок фінансової звітності / переноситься з ClientProfile,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
2465,financial_statement_line,Рядок фінансової звітності / переноситься з ClientProfile,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
2500,financial_statement_line,Рядок фінансової звітності / переноситься з ClientProfile,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
2505,financial_statement_line,Рядок фінансової звітності / переноситься з ClientProfile,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
2510,financial_statement_line,Рядок фінансової звітності / переноситься з ClientProfile,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
2515,financial_statement_line,Амортизація,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
2520,financial_statement_line,Рядок фінансової звітності / переноситься з ClientProfile,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
2550,financial_statement_line,Рядок фінансової звітності / переноситься з ClientProfile,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
2600,financial_statement_line,Рядок фінансової звітності / переноситься з ClientProfile,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
2605,financial_statement_line,Рядок фінансової звітності / переноситься з ClientProfile,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
2610,financial_statement_line,Рядок фінансової звітності / переноситься з ClientProfile,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
2615,financial_statement_line,Рядок фінансової звітності / переноситься з ClientProfile,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
2650,financial_statement_line,Рядок фінансової звітності / переноситься з ClientProfile,SUM,"Сума по всіх компаніях, що входять до групи за matching-year"
Середня чисельність працівників,metadata,Середня чисельність працівників,SUM,SUM
Клас КВЕД2010,metadata,Клас КВЕД2010,NON_SUM,MAIN_COMPANY_OR_METADATA
Секція КВЕД2010,metadata,Секція КВЕД2010,NON_SUM,MAIN_COMPANY_OR_METADATA
Користувач,metadata,Користувач,NON_SUM,MAIN_COMPANY_OR_METADATA
Версія 0.10.005,metadata,Версія 0.10.005,NON_SUM,MAIN_COMPANY_OR_METADATA
Дата та час збереження інформації,metadata,Дата та час збереження інформації,NON_SUM,MAIN_COMPANY_OR_METADATA
